,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,gsm,amusement,system
1,2014-03-23,7.6,0.8,0.8,0.043209876543209874,0.008001979167262701,0.007611238425925927,0.0,0.14285714285714285,0.0005585069444444445,0.000537175925925926
2,2014-03-24,6.8,-0.2,0.4,0.03333333333333333,0.02769615740135868,0.008871493055555554,0.002642152777777778,0.14285714285714285,0.007046215277777778,0.0013415277777777776
3,2014-03-25,6.0,-0.75,-0.5,0.0789351851851852,0.030763206021101407,0.002806319444444445,0.006054247685185185,0.0,0.0070525462962962955,0.011124386574074076
4,2014-03-26,6.8,0.4,0.4,0.025762156714537646,0.008661076387873405,0.000934976851851852,0.00402042824074074,0.0,0.004290289351851852,0.002973125
5,2014-03-27,7.0,0.25,0.75,0.057000000000000016,0.014626400467974171,0.0013316435185185185,0.002901342592592593,0.0,0.007744131944444444,0.0026471064814814816
6,2014-03-28,6.25,0.5,0.0,0.023809523809523808,0.005330462960733311,0.0015433912037037035,0.0,0.0,0.0,0.004730868055555557
7,2014-03-29,7.4,1.0,1.0,0.13813915857605175,0.008806064813225356,0.0002445601851851853,0.0,0.5714285714285714,0.005728043981481482,0.001414849537037037
8,2014-03-30,7.5,1.0,1.0,0.3802083333333333,0.009660590282744836,0.005140405092592592,0.0037900694444444453,0.2857142857142857,0.0,0.00025731481481481493
9,2014-03-31,7.0,0.8,0.8,0.0125,0.00023974536745636544,0.00023968750000000005,0.0,0.5714285714285714,0.0,0.0
10,2014-04-01,6.25,0.0,0.0,0.0,0.00034296296260975,0.0,0.0,0.5714285714285714,0.01103292824074074,0.00044375
11,2014-04-02,6.5,0.0,0.25,0.06712962962962966,0.02635101852593601,0.008283194444444444,0.009135381944444444,0.0,0.0017220138888888884,0.0059113773148148155
12,2014-04-03,6.666666666666668,0.3333333333333333,0.3333333333333333,0.05502297410192149,0.0006325578689575197,0.0,0.0,0.14285714285714285,0.0,0.0005006712962962964
13,2014-04-04,7.0,0.75,0.5,0.01574074074074075,0.023910266191319182,0.008817361111111106,0.004213344907407408,0.0,0.006328738425925926,0.0031924652777777784
14,2014-04-05,7.0,0.4,0.8,0.09056023599628253,0.009346944446916932,0.0010939930555555557,0.0,0.2857142857142857,0.005209050925925926,0.0012587268518518518
15,2014-04-06,7.0,0.6,0.8,0.060227140822464775,0.04541979166092695,0.009870104166666671,0.00506238425925926,0.5714285714285714,0.0050031828703703705,0.0026738194444444444
16,2014-04-07,6.8,0.6,1.0,0.029011707988980725,0.0033588194460780533,0.010218888888888885,0.006652314814814815,0.14285714285714285,0.007037673611111113,0.0008557291666666662
17,2014-04-08,7.25,0.5,0.75,0.003367003367003368,0.006967187499006591,0.0,4.6574074074074076e-05,0.2857142857142857,0.006154131944444444,0.0007664814814814814
18,2014-04-09,7.75,0.25,1.0,0.069361289395536,0.017739537035425502,0.0030466435185185193,0.0116621875,0.5714285714285714,0.0028802199074074073,0.0027995717592592603
25,2014-04-16,7.2,0.4,0.6,0.0046296296296296354,0.00013076389001475438,0.0,0.0,0.14285714285714285,0.0,0.0
26,2014-04-17,6.4,-0.4,0.4,0.014580010632642209,0.0197279745367942,0.005511331018518518,0.003701585648148148,0.14285714285714285,0.006509826388888889,0.0035494328703703686
27,2014-04-18,6.75,0.0,0.5,0.006430041152263367,0.0010827199038532043,0.0,0.00016936342592592591,0.0,0.0,0.0009124189814814816
28,2014-04-19,7.5,0.0,1.0,0.0362707535121329,0.03297399306738818,0.02713318287037037,0.00040947916666666666,0.0,0.002273726851851852,0.0008530671296296296
29,2014-04-20,7.6,-0.4,0.6,0.17375000000000002,0.008780405093674306,0.003271018518518518,0.00015454861111111108,0.14285714285714285,0.0,0.0035693981481481484
30,2014-04-21,7.4,0.2,0.8,0.06042250233426701,0.00832914352968887,0.003951701388888889,0.012433576388888892,0.14285714285714285,0.00017109953703703704,0.0019510069444444444
